Tamanio,Algoritmo,Tiempo (s),Complejidad Teorica
10000,Bubble Sort,3.16810000,O(n²)
10000,Bitonic Sort,0.20890000,O(log² n · n)
10000,Radix Sort,0.03330000,O(nk)
10000,Merge Sort,0.02150000,O(n log n)
10000,Quick Sort,0.01320000,O(n log n)
100000,Bubble Sort,352.50910000,O(n²)
100000,Bitonic Sort,2.23320000,O(log² n · n)
100000,Radix Sort,0.32110000,O(nk)
100000,Merge Sort,0.20660000,O(n log n)
100000,Quick Sort,0.16300000,O(n log n)
1000000,Radix Sort,3.72760000,O(nk)
1000000,Merge Sort,2.37800000,O(n log n)
1000000,Quick Sort,1.90380000,O(n log n)
